Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer
"'Đảng lãnh đạo cách mạng giải phóng dân tộc, xây dựng đất nước bằng…",Multiple Choice,"'cương lĩnh, đường lối, chủ trương, chính sách lớn.","'tư tưởng của các nhà triết học nổi tiếng.","'thông báo, giấy tờ tuyên truyền được in bởi các Nhà xuất bản của Việt Nam.","'lý luận của chủ nghĩa Mác - Lênin.",,1
"'Bản cương lĩnh đầu tiên của Đảng Cộng sản Việt Nam ra đời năm bao nhiêu?",Multiple Choice,"'1930.","'1932.","'1931.","'1933.",,1
"'Điền vào chỗ trống: “Đảng lấy chủ nghĩa Mác - Lênin, … làm nền tảng tư tưởng, kim chỉ nam cho hành động”",Multiple Choice,"'truyền thống đoàn kết.","'tư tưởng Hồ Chí Minh.","'tư tưởng Ăngghen.","'truyền thống yêu nước.",,2
"'Năm 1933, tác phẩm “Sơ thảo lịch sử phong trào Đông Dương” là bản nghiên cứu tổng hợp đầu tiên về lịch sử Đảng. Tác phẩm này của ai?",Multiple Choice,"'Lê Duẩn.","'Trường Chinh.","'Võ Nguyên Giáp.","'Hà Huy Tập.",,4
"'Phong trào Đông Kinh Nghĩa Thục thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,3
"'Phong trào do Phan Bội Châu khởi xướng thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,3
"'Thời gian diễn ra cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp ở Việt Nam?",Multiple Choice,"'1897 - 1914.","'1884 - 1914.","'1858 - 1914.","'1873 - 1914.",,1
"'Phong trào do Việt Nam Quốc dân Đảng khởi xướng thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,3
"'Trong những điểm sau đây nói về “hoàn cảnh quốc tế cuối thế kỷ XIX đầu thế kỷ XX đã tác động đến sự ra đời của Đảng Cộng sản Việt Nam”, điểm tác động nào nói đến ảnh hưởng của chủ nghĩa Mác - Lênin?",Multiple Choice,"'Mâu thuẫn giữa dân tộc thuộc địa với chủ nghĩa đế quốc.","'Chủ nghĩa Mác - Lênin đã lay chuyển lôi cuốn quần chúng nhân dân và những phần tử ưu tú tích cực ở các nước thuộc địa vào phong trào cộng sản.","'Cách mạng Tháng Mười Nga như một trong các động lực thúc đẩy sự ra đời của nhiều Đảng Cộng sản.","'Cách mạng Việt Nam lâm vào tình trạng khủng hoảng sâu sắc về đường lối, về giai cấp lãnh đạo.",,2
"'Bản hiệp ước cuối cùng mà triều đình nhà Nguyễn kí với thực dân Pháp, chính thức biến Việt Nam thành thuộc địa nửa phong kiến là:",Multiple Choice,"'Pa tơ nốt.","'Hác Măng.","'Trùng Khánh.","'Hiệp ước năm 1873.",,1
"'Trong cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp, giai cấp nào mới được hình thành?",Multiple Choice,"'Giai cấp nông dân.","'Giai cấp đia chủ.","'Giai cấp nông dân và địa chủ.","'Giai cấp công nhân.",,4
"'Thực dân Pháp xâm lược Việt Nam vào thời gian nào?",Multiple Choice,"'1858.","'1859.","'1860.","'1861.",,1
"'Trong những điểm sau đây nói về chính sách cai trị của thực dân Pháp, điểm nào thuộc về chính sách kinh tế?",Multiple Choice,"'Chia Việt Nam ra thành ba xứ để cai trị: Bắc Kỳ, Trung Kỳ, Nam Kỳ.","'Chính sách khai thác thuộc địa.","'Thực hiện chính sách dung túng, duy trì các hủ tục lạc hậu trong nhân dân ta.","'Thực hiện khẩu hiệu: Tự do, bình đẳng, bác ái ở nước ta.",,2
"'Đại hội Đảng Cộng sản Đông Dương lần thứ nhất bầu đồng chí nào làm Tổng bí thư?",Multiple Choice,"'Hà Huy Tập.","'Trần Phú.","'Lê Hồng Phong.","'Trường Chinh.",,3
"'Tổ chức cộng sản Đông Dương Cộng sản Liên đoàn gia nhập Đảng Cộng sản Việt Nam vào thời gian nào?",Multiple Choice,"'03/02/1930.","'06/01/1930.","'07/02/1930.","'24/02/1930.",,4
"'Được sự chỉ đạo của Quốc tế Cộng sản, ban lãnh đạo của đảng ở nước ngoài do ai đứng đầu?",Multiple Choice,"'Nguyễn Ái Quốc.","'Trần Phú.","'Lê Hồng Phong.","'Nguyễn Thị Minh Khai.",,3
"'Hội nghị thành lập Đảng đầu năm 1930 có tất cả bao nhiêu đại biểu tham dự?",Multiple Choice,"'6.","'7.","'8.","'9.",,2
"'Nguyễn Ái Quốc lựa chọn con đường giải phóng dân tộc theo khuynh hướng chính trị vô sản vào thời gian nào?",Multiple Choice,"'1917.","'1918.","'1919.","'1920.",,4
"'Đại hội Đảng lần thứ nhất diễn ra ở đâu?",Multiple Choice,"'Ma Cao (Trung Quốc).","'Quảng Châu (Trung Quốc).","'Hà Nội (Việt Nam).","'Băng Cốc (Thái Lan).",,1
"'Tổ chức An Nam Cộng sản Đảng được thành lập khi nào và ở đâu?",Multiple Choice,"'11/1929 tại Cửu Long (Trung Quốc).","'11/1929 tại Khánh Hội (Sài Gòn).","'11/1929 tại Hàm Long (Hà Nội).","'11/1930 tại Quảng Châu.",,2
"'Hội nghị nào của Ban chấp hành Trung ương Đảng nhấn mạnh giải phóng dân tộc là nhiệm vụ bức thiết nhất?",Multiple Choice,"'Hội nghị họp tháng 10/1930.","'Hội nghị họp tháng 11/1939.","'Hội nghị họp tháng 11/1940.","'Hội nghị họp tháng 5/1941.",,4
"'Hội nghị Ban Chấp hành Trung ương Đảng 5/1941 họp ở đâu? Do ai chủ trì?",Multiple Choice,"'Cao Bằng - Nguyễn Ái Quốc.","'Bắc Cạn - Trường Chinh.","'Cao Bằng - Trường Chinh.","'Tuyên Quang - Nguyễn Ái Quốc.",,1
"'Hội liên hiệp các dân tộc thuộc địa được thành lập năm nào?",Multiple Choice,"'1921.","'1922.","'1923.","'1924.",,1
"'Mặt trận Việt Minh chính thức thành lập ngày nào?",Multiple Choice,"'10/5/1941.","'15/5/1941.","'19/5/1941.","'29/5/1941.",,3
"'Luận cương Chính trị do đồng chí Trần Phú khởi thảo ra đời vào thời gian nào?",Multiple Choice,"'2/1930.","'10/1930.","'9/1930.","'8/1930.",,2
"'Nội dung nào trong Hội nghị hợp nhất các tổ chức cộng sản đầu năm 1930 của Việt Nam được đánh giá là:
“được thực hiện bằng một con đường khác mà quốc tế cộng sản không lường trước được"" (văn kiện Đảng toàn tập, tập 4, trang 384).
",Multiple Choice,"'Hội nghị đã thông qua Cương lĩnh chính trị của Nguyễn Ái Quốc.","'Đông Dương Cộng sản liên đoàn được kết nạp vào Đảng.","'Thành lập Đảng Cộng sản để lãnh đạo cách mạng Việt Nam.","'Hội nghị bầu Ban chấp hành trung ương lâm thời của Đảng.",,3
"'Ba cuộc khởi nghĩa Bắc Sơn, Nam Kì, binh biến Đô Lương đã để lại bài học kinh nghiệm lớn nhất là gì?",Multiple Choice,"'Bài học kinh nghiệm về khởi nghĩa vũ trang, về xây dựng lực lượng vũ trang và chiến tranh du kích.","'Bài học về thời cơ trong khởi nghĩa giành chính quyền.","'Bài học về xây dựng lực lượng vũ trang để chuẩn bị khởi nghĩa.","'Bài học về sự phát triển chiến tranh du kích.",,2
"'Điểm giống nhau về ý nghĩa của ba sự kiện: khởi nghĩa Bắc Sơn, khởi nghĩa Nam Kì và binh biến Đô Lương là gì?",Multiple Choice,"'Các lực lượng vũ trang cách mạng ra đời và phát triển từ ba cuộc khởi nghĩa.","'Giáng đòn chí tử vào thực dân Pháp, nghiêm khắc cảnh cáo phát xít Nhật, những phát súng đầu tiên báo hiệu một cao trào cách mạng mới.","'Để lại những bài học kinh nghiệm về xây dựng lực lượng khởi nghĩa vũ trang.","'Mở ra một thời kì đấu tranh mới.",,2
"'Đề cương văn hoá Việt nam được đảng xây dựng vào năm nào?",Multiple Choice,"'1941.","'1942.","'1943.","'1944.",,3
"'Trong những hoạt động sau đây của Nguyễn Ái Quốc, hoạt động nào chuẩn bị trực tiếp điều kiện về chính trị và tư tưởng cho việc thành lập Đảng Cộng sản Việt Nam?",Multiple Choice,"'Nguyễn Ái Quốc viết báo, xuất bản sách, ra các tờ báo nhằm tuyên truyền chủ nghĩa Mác Lênin vào Việt Nam để thức tỉnh quần chúng.","'Tháng 6/1925, Nguyễn Ái Quốc thành lập Hội Việt Nam Cách mạng Thanh niên với chương trình và Điều lệ là làm cách mạng dân tộc và cách mạng thế giới.","'Từ năm 1925-1927, Nguyễn Ái Quốc mở các lớp huấn luyện chính trị nhằm đào tạo cán bộ cho cách mạng Việt Nam.","'Tập bài giảng “Đường Kách mệnh” của Nguyễn Ái Quốc ở các lớp huấn luyện chính trị đã đề cập đến những vấn đề cơ bản của một Cương lĩnh chính trị cho Đang Cộng sản Việt Nam hiện nay.",,4
"'Nét nổi bật nhất của cuộc vận động dân chủ 1936 - 1939 là gì?",Multiple Choice,"'Uy tín và ảnh hưởng của Đảng được mở rộng và ăn sâu trong quân chúng nhân dân.","'Tư tưởng và chủ trương của Đảng được phổ biến, trình độ chính trị và công tác của đảng viên được nâng cao.","'Tập hợp được một lực lượng công - nông hùng mạnh.","'Đảng đã tập hợp được một lực lượng chính trị đông đảo của quân chúng và sử dụng hình thức, phương pháp đấu tranh phong phú.",,4
"'Sự kiện đánh dấu bước ngoặt trong cuộc đời hoạt động của Nguyễn Ái Quốc là:",Multiple Choice,"'Ảnh hưởng của Cách mạng tháng Mười Nga năm 1917 đến tư tưởng cứu nước của Nguyễn Ái Quốc.","'Đưa yêu sách đến Hội nghị Véc-xai (18-6/1919).","'Đọc Luận cương của Lênin về vấn đề dân tộc và thuộc địa (tháng 7/1920).","'Bỏ phiếu tán thành việc gia nhập Quốc tế III và tham gia sáng lập Đảng Cộng sản Pháp (tháng 12/1920).",,4
"'Phong trào của vua Hàm Nghi thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,2
"'Thời gian diễn ra cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Việt Nam?",Multiple Choice,"'1897 - 1914.","'1884 - 1914.","'1858 - 1914.","'1919 - 1929.",,4
"'Trong các nhà yêu nước tiêu biểu cho phong trào yêu nước cuối thế kỷ XIX đầu thế kỷ XX được kể sau đây, ai là người tiêu biểu cho phong trào Cần Vương?",Multiple Choice,"'Hàm Nghi.","'Đề Thám.","'Phan Bội Châu.","'Phan Châu Trinh.",,1
"'Dưới chế độ thực dân phong kiến, giai cấp nông dân có yêu cầu bức thiết nhất là gì?",Multiple Choice,"'Độc lập dân tộc.","'Ruộng đất.","'Quyền bình đẳng nam nữ.","'Được giảm tô, giảm tức.",,1
"'Trong các nhà yêu nước tiêu biểu cho phong trào yêu nước cuối thế kỷ XIX đầu thế kỷ XX được kể sau đây, ai là người đứng đầu nghĩa quân Yên Thế?",Multiple Choice,"'Hàm Nghi.","'Đề Thám.","'Phan Bội Châu.","'Phan Châu Trinh.",,2
"'Phong trào do Phan Châu Trinh lãnh đạo thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,3
"'Hội Việt Nam cách mạng thanh niên thực hiện chủ trương “vô sản hóa” khi nào?",Multiple Choice,"'Cuối năm 1926 đầu năm 1927.","'Cuối năm 1927 đầu năm 1928.","'Cuối ăm 1928 đầu năm 1929.","'Cuối năm 1929 đầu năm 1930.",,3
"'Ban thường vụ Trung ương Đảng ra chỉ thị thành lập Hội phản đế đồng minh vào lúc nào?",Multiple Choice,"'18/11/1930.","'18/11/1931.","'18/11/1932.","'18/11/1933.",,1
"'Cao trào kháng Nhật cứu nước đã diễn ra ở vùng rừng núi và trung du Bắc kỳ với hình thức nào là chủ yếu?",Multiple Choice,"'Khởi nghĩa từng phần.","'Vũ trang tuyên truyền.","'Chiến tranh du kích cục bộ.","'Đấu tranh báo chí.",,3
"'Nguyễn Ái Quốc đọc bản “Sơ thảo luận cương về vấn đề dân tộc và thuộc địa” của Lênin khi nào và ở đâu?",Multiple Choice,"'7/1920 tại Pháp.","'7/1920 tại Quảng Châu.","'7/1920 tại Liên Xô.","'8/1920 tại Trung Quốc.",,1
"'Cao trào 1930-1931 diễn ra đỉnh cao ở địa phương nào?",Multiple Choice,"'Nghệ Tĩnh.","'Hà Nội.","'Thái Nguyên.","'Tuyên Quang.",,1
"'Nguyễn Ái Quốc gửi bản yêu sách của nhân dân An Nam tới hội nghị Véc - xây vào thời gian nào?",Multiple Choice,"'1918.","'1919.","'1920.","'1921.",,2
"'Khẩu hiệu “Đả đảo chủ nghĩa đế quốc”, “Đả đảo phong kiến”; “Thả tù chính trị” trong phong trào cách mạng 1930-1931 ở Việt Nam phản ánh:",Multiple Choice,"'Ý thức giác ngộ của lực lượng cách mạng Việt Nam.","'Đầy đủ các mục tiêu đấu tranh của cách mạng Việt Nam.","'Mục tiêu đấu tranh lớn nhất và duy nhất của cách mạng.","'Những điểm hạn chế của luận cương chính trị (10/1930).",,2
"'Sự kiện nào được đánh giá là “như chim én nhỏ báo hiệu mùa xuân”?",Multiple Choice,"'Cách mạng tháng Mười Nga bùng nổ và thắng lợi.","'Sự thành lập Đảng Cộng sản Việt Nam.","'Vụ mưu sát tên toàn quyền Méc Lanh của Phạm Hồng Thái.","'Sự thành lập hội Việt Nam Cách mạng Thanh niên.",,3
"'Tờ báo nào là cơ quan ngôn luận của Hội Việt Nam Cách mạng Thanh niên?",Multiple Choice,"'Báo Nhân đạo.","'Báo Sự thật.","'Báo Người cùng khổ.","'Báo Thanh Niên.",,4
"'Điều nào không phải chính sách của chính phủ Mặt trận nhân dân Pháp năm 1936 đối với các thuộc địa?",Multiple Choice,"'Cho phép lập Hội ái hữu.","'Giải quyết vấn đề ruộng đất cho nhân dân.","'Trả tự do cho một số tù chính trị.","'Cho phép xuất bản báo chí.",,2
"'Trong các nhà yêu nước tiêu biểu cho phong trào yêu nước cuối thế kỷ XIX đầu thế kỷ XX được kể sau đây, ai là người tiêu biểu cho xu hướng bạo động cách mạng?",Multiple Choice,"'Hàm Nghi.","'Đề Thám.","'Phan Bội Châu.","'Phan Châu Trinh.",,3
"'Theo chỉ thị của đồng chí Nguyễn Ai Quốc đội Việt Nam tuyên truyền Giải phóng quân được thành lập khi nào?",Multiple Choice,"'03/02/1930.","'07/02/1930.","'22/12/1945.","'22/12/1944.",,4
"'Đoạn trích sau trong văn bản nào:
“Trong giai đoạn này, quyền lợi của giai cấp công nhân và nhân dân lao động và của dân tộc là một. Chính vì Đảng Lao động Việt Nam là Đảng của giai cấp công nhân và nhân dân lao động, cho nên nó phải là Đảng của dân tộc Việt Nam”?
",Multiple Choice,"'Báo cáo chính trị tại Đại hội đại biểu lần thứ II (1951).","'Điều lệ mới của Đảng được Đại hội II (1951) thông qua.","'Chính cương của Đảng Lao động Việt Nam.","'Luận cương tháng 10/1930.",,1
"'Trong những ý nghĩa lịch sử của sự ra đời Đảng Cộng sản Việt Nam, ý nghĩa nào sau đây thể hiện Nguyễn Ái Quốc đã vận dụng và phát triển sáng tạo học thuyết Mác Lênin về Đảng Cộng sản?",Multiple Choice,"'Nó chứng tỏ rằng giai cấp vô sản đã trưởng thành và đủ sức lãnh đạo cách mạng.","'Nó là kết quả tất yếu của cuộc đấu tranh dân tộc và đấu tranh giai cấp ở Việt Nam.","'Đảng Cộng sản Việt Nam thành lập vào đầu năm 1930 là sản phẩm của sự kết hợp chủ nghĩa Mác Lênin với phong trào công nhân và phong trào yêu nước của nhân dân Việt Nam.","'Giải quyết được tình trạng khủng hoảng về đường lối cách mạng, về giai cấp lãnh đạp cách mạng Việt Nam ở đầu thế kỷ XX.",,3
"'Ba tư tưởng sau đây được trình bày trong tác phẩm nào của Nguyễn Ái Quốc?
- Cách mạng là sự nghiệp của quân chúng.
- Cách mạng phải do đảng theo chủ nghĩa Mác - Lênin lãnh đạo.
- Cách mạng Việt Nam phải gắn bó và đoàn kết với cách mạng thế giới.
",Multiple Choice,"'Tạp chí “Thư tín quốc tế”.","'“Bản án chế độ thực dân Pháp”.","'“Đường kách mệnh”.","'"Yêu sách của nhân dân An Nam".",,3
"'Hội nghị Ban chấp hành Trung ương Đảng Cộng sản Đông Dương lần thứ 8 đề ra khẩu hiệu gì?",Multiple Choice,"'“Tịch thu ruộng đất của đế quốc và Việt gian chia cho dân cày nghèo”.","'“Người cày có ruộng”.","'“Giảm tô, giảm tức”.","'“Đánh đổ địa chủ chia ruộng đất cho dân cày”.",,1
"'Trong những điểm sau đây nói về “hoàn cảnh quốc tế cuối thế kỷ XIX đầu thế kỷ XX đã tác động đến sự ra đời của Đảng Cộng sản Việt Nam”, điểm tác động nào nói đến hậu quả của chủ nghĩa tư bản?",Multiple Choice,"'Mâu thuẫn giữa dân tộc thuộc địa với chủ nghĩa đế quốc.","'Chủ nghĩa Mác Lenin đã lay chuyển lôi cuốn quần chúng nhân dân và những phần tử ưu tú tích cực ở các nước thuộc địa vào phong trào cộng sản.","'Cách mạng Tháng Mười Nga như một trong các động lực thúc đẩy sự ra đời của nhiều Đảng Cộng sản.","'Cách mạng Việt Nam lâm vào tình trạng khủng hoảng sâu sắc về đường lối, về giai cấp lãnh đạo.",,1
"'Hội nghị lần 6 (tháng 11 - 1939) của Ban chấp hành Trung ương Đảng đã xác định nhiệm vụ của cách mạng Đông Dương lúc này là gì?",Multiple Choice,"'Đặt nhiệm vụ giải phóng dân tộc và giải phóng giai cấp lên hàng đầu.","'Chống chủ nghĩa phát xít và chống chiến tranh.","'Đặt nhiệm vụ giải phóng dân tộc lên hàng đầu và cấp bách.","'Tất cả các nhiệm vụ trên.",,3
"'Quốc dân Đại hội Tân trào tháng 8-1945 đã KHÔNG quyết định những nội dung nào dưới đây:",Multiple Choice,"'Quyết định Tổng khởi nghĩa.","'10 Chính sách của Việt Minh.","'Quyết định thành lập Uỷ ban giải phóng ở Hà Nội. Các bài giảng của Nguyễn Ái Quốc ở Hội Việt Nam Cách mạng Thanh niên được tập hợp xuất bản thành cuốn sách nào?","'Quyết định thành lập Uỷ ban giải phóng dân tộc, quy định Quốc kỳ, Quốc ca.",,3
"'Hội nghị thành lập Đảng Cộng sản Việt Nam diễn ra vào thời gian nào?",Multiple Choice,"'Từ 06/01/1930 đến 07/02/1930.","'Từ 03/02/1930 đến 07/02/1930.","'Từ 03/02/1930 đến 24/02/1930.","'Từ 07/02/1930 đến 24/02/1930.",,1
"'Trong những điểm sau đây nói về chính sách cai trị của thực dân Pháp, điểm nào thuộc về chính sách cai trị về chính trị?",Multiple Choice,"'Chia Việt Nam ra thành ba xứ để cai trị: Bắc Kỳ, Trung Kỳ, Nam Kỳ.","'Chính sách khai thác thuộc địa.","'Thực hiện chính sách dung túng, duy trì các hủ tục lạc hậu trong nhân dân ta.","'Thực hiện khẩu hiệu: Tự do, bình đẳng, bác ái ở nước ta.",,1
"'Hội nghị toàn quốc của Đảng Cộng sản Đông Dương họp ở Tân Trào trong thời gian nào?",Multiple Choice,"'15-19/8/1941.","'14-15/8/1945.","'15-19/8/1945.","'16-18/8/1945.",,2
"'Từ năm 1936, những chính sách tích cực của chính phủ mặt trận nhân Pháp ở Đông Dương là:",Multiple Choice,"'cơ sở để xây dựng mặt trận thống nhất thời kỳ 1936-1939","'cở sở để Đảng đề ra hình thức đấu tranh trong thời kỳ 1936-1939","'nguyên nhân sâu xa bùng nổ phong trào dân chủ 1936-1939","'nhân tố quyết định thắng lợi của phong trào dân chủ 1936-1939",,2
"'Vì sao cuối năm 1928 đầu năm 1929, những người cộng sản Việt Nam thấy cần thiết phải thành lập một Đảng Cộng sản để lãnh đạo phong trào đấu tranh giành độc lập, tự do cho dân tộc?",Multiple Choice,"'Do phong trào dân tộc dân chủ ở nước ta phát triển mạnh.","'Do phong trào dân tộc và dân chủ, đặc biệt là phong trào công nông theo con đường cách mạng vô sản phát triển mạnh.","'Trước sự thất bại của cuộc khởi nghĩa Yên Bái, Việt Nam Quốc dân đảng tan rã.","'Sự phát triển mạnh của hai tổ chức Thanh niên và Tân Việt.",,2
"'Nhận xét nào sau đây là đúng về các mặt trận dân tộc thống nhất ở Việt Nam trong những năm 1930 - 1945?",Multiple Choice,"'Nền tảng của mặt trận là công nhân và nông dân.","'Đảm nhận chức năng của chính quyền cách mạng.","'Tập dượt các hình thức đấu tranh mới.","'Đảm nhận chức năng của tổ chức văn hoá xã hội.",,1
"'Trong những điểm sau đây nói về chính sách thống trị của thực dân Pháp đã tác động mạnh mẽ tới xã hội Việt Nam, điểm nào nói về phân hoá giai cấp ở nước ta?",Multiple Choice,"'Cho ra đời giai cấp mới là công nhân và tư sản Việt Nam.","'Làm cho xã hội Việt Nam phong kiến trở thành xã hội thuộc đại nửa phong kiến.","'Nảy sinh mâu thuẫn cơ bản trong đời sống xã hội Việt Nam là mâu thuẫn giữa toàn thể dân tộc Việt Nam với thực dân Pháp xâm lược.","'Chống đế quốc, giải phóng dân tộc là nhiệm vụ hang đầu.",,1
